タイトル	著者	出版社	価格	出版年月日
夢幻紳士　冒険活劇篇１	高橋葉介	早川書房	903	2006-04-01
PHPによるWebアプリケーションスーパーサンプル	西沢直木	ソフトバンククリエイティブ	3990	2006-03-24
沈黙	遠藤周作	新潮社	540	1990-01-01
一休さん―とんちで名高い禅宗の僧	三上 修平, 堀田 あきお	集英社	945	1990-06-01
C++ Coding Standards―101のルール、ガイドライン、ベストプラクティス	ハーブ サッター, アンドレイ アレキサンドレスク, Herb Sutter, Andrei Alexandrescu, 浜田 真理, 浜田 光之	ピアソンエデュケーション	2940	2005-10-14
おもしろ言語のラボラトリー	21世紀の認知心理学を創る会	北大路書房	2500	2001-09-01
雨はコーラがのめない	江國 香織	新潮社	420	2007-06-01
スラムダンク	井上雄彦	集英社	410	1991-02-01
風の海　迷宮の岸(下) 十二国記　講談社X文庫―ホワイトハート	小野不由美	講談社	462	1993-04-13
ZOO	乙一	集英社	1575	2003-06-26
夏と花火と私の死体	乙一	集英社	440	2000-05-13
蒼天航路 (18)	王欣太, 李 学仁	講談社	798	2006-12-12
甲子園強豪野球部練習カルテ	オークラ出版	オークラ出版	1100	2007-10-22
猫でもわかるネットワークプログラミング	粂井康孝	ソフトバンククリエイティブ	2800	2003-11-12
ブルータワー	石田 衣良	徳間出版	1785	2004-09-16
ホームレスからのリベンジ―あるIT社長の独白	兼元謙任	小学館	500	2007-03-01
ドグラ・マグラ	夢野久作	早川書房	1890	1990-01-01
暗黒童話	乙一	集英社	620	2004-05-20
悪妻に捧げるレクイエム	赤川次郎	角川書店	540	2007-04-25
中国語検定対策3級・4級　ヒアリング編	郭　春貴	白帝社	2415	2004-04-01
重力ピエロ	伊坂　幸太郎	新潮社	1575	2003-04-22
東京タワー	リリー・フランキー	扶桑社	1575	2005-06-28
火車	宮部みゆき	新潮文庫	900	1998-01-01
わが愛しき娘たちよ	コニー・ウィリス	早川書房	1008	1992-07-23
現代語訳 般若心経	玄侑宗久	筑摩書房	700	2006-09-01
ドラゴンボール 完全版 (1)	鳥山 明	集英社	980	2007-12-13
リアル	井上雄彦	集英社	620	2007-11-29
やさしいC++－まずは「C言語」から始めよう！！	米村貴裕	工学社	1995	2006-04-01
黒博物館　スプリンガルド	藤田和日郎	講談社	620	2007-09-21
空色勾玉	荻原規子	徳間書店	1785	1996-07-01
入門Meadow/Emacs	小関吉則	オーム社	2800	2003-08-01
おおきなかぶ	A　トルストイ	福音館書店	840	1990-06-01
東の海神　西の滄海 十二国記　講談社X文庫―ホワイトハート	小野不由美	講談社	641	1994-06-13
間宮兄弟	江國 香織	小学館	580	2007-11-06
すべてがFになる The perfect insider	森博嗣	講談社	770	1998-12-04
’03－04　るるぶ箱根	池内信子	JTB	820	2003-05-15
ゲーム的リアリズムの誕生	東浩紀	講談社	880	2007-03-16
The Book～jojo's bizarre adventure 4th another day～	乙一	集英社	1575	2007-11-26
かわいいうさぎ	斉藤 久美子	西東社	1260	2007-12-13
三びきのやぎのがらがらどん	マーシャ・ブラウン	福音館書店	1050	1990-01-01
中国語検定対策3級・4級　単語編	郭　春貴	白帝社	1470	2003-11-01
アート・オブ・SQL ―パフォーマンスを引き出すSQLプログラミング手法	Stephane Faroult , Peter Robson , 木下 哲也 , 有限会社 福龍興業	オライリー・ジャパン	3360	2007-09-15
肉食屋敷	小林泰三	角川書店	500	2000-09-01
すみれの花の砂糖づけ	江国香織	新潮社	540	2002-12-13
虚無への供物	塔 晶夫	東京創元者	4200	2000-02-29
太陽の塔	森見 登美彦	新潮社	1365	2003-12-19
基礎ＰＨＰ	山田祥寛	インプレス	3129	2004-10-01
エミリーへの手紙	キャムロン・ライト	日本放送出版協会	1365	2002-06-25
猫でもわかるWindowsプログラミング	粂井康孝	ソフトバンク	2800	2003-01-24
改訂新版 基礎PHP	WINGSプロジェクト	インプレス	3129	2004-09-22
明解Java入門編	柴田望洋	ソフトバンククリエイティブ	2730	2007-08-08
思いわずらうことなく愉しく生きよ	江國 香織	光文社	680	2007-06-01
偶然性・アイロニー・連帯―リベラル・ユートピアの可能性	リチャード・ローティ	岩波書店	3990	2000-10-01
うまれたときから「妖怪」だった	水木しげる	講談社	1680	2007-12-13
地下鉄東西線計画25の欠陥―未来の仙台を見据えたまちづくり提案	江刺洋司	本の森	1575	2004-04-01
BRAHMAN / A FORLORN HOPE(スコア・ブック)	BRAHMAN	リットーミュージック	2625	2001-10-26
ちびくろ・さんぼ	ヘレン・バンナーマン	瑞雲舎	1050	2005-04-15
代表人 上巻	木多 康昭	講談社	495	2002-06-17
ハリー・ポッターとアズカバンの囚人	J.K.ローリング作,松岡佑子訳	静山社	1900	2007-12-13
有閑倶楽部	一条ゆかり	集英社	500	2007-11-01
へんないきもの三千里	早川いくを	バジリコ	1575	2007-11-01
ヘウレーカ	岩明均	白泉社	580	2002-12-19
されど罪人は竜と踊る	浅井ラボ	角川書店	650	2003-01-13
ここまで来ているモバイルマルチメディア	新美英樹	日経BP企画	1680	2003-08-18
独習Java	Joseph O'Neil	株式会社翔泳社	3990	2005-01-13
ハリー・ポッターと死の秘宝	J. K. ローリング	静山社	3990	2008-07-23
ぐりとぐら	なかがわ りえこ・おおむら ゆりこ	福音館書店	840	1990-01-01
恋とお金と夢に効く！幸せな奇跡を起こす本	佳川奈未	ゴマブックス	500	2006-12-15
はじめてのSolaris 10 [改訂版]	今井 悟志	工学社	2625	2006-08-06
二十一世紀最初の戯曲集	野田秀樹	新潮社	1470	2003-04-11
はらぺこあおむし	エリック　カール	偕成社	1260	1997-10-01
青の炎	貴志祐介	角川文庫	700	2002-10-01
日本目録規則	日本図書館協会目録委員会編	日本図書館協会	3500	2007-12-13
容疑者Ｘの献身	東野圭吾	文芸春秋	1680	2005-08-13
世界がもし100人の村だったら	池田 香代子，C.ダグラス・ラミス	マガジンハウス	880	2001-12-01
ホームレス中学生	田村 裕	ワニブックス	1365	2007-08-31
鋼の錬金術師 17	荒川弘	スクウェア・エニックス	410	2007-08-11
アヒルと鴨のコインロッカー	伊坂 幸太郎	東京創元社	1575	2003-11-20
プロ音響データブック	日本音響家協会	リットーミュージック	2940	2001-12-25
六月のシュールな薔薇	尾鮭あさみ	角川書店	483	1994-02-03
利己的な遺伝子	Clinton Richard Dawkins	紀伊國屋書店	2940	2006-05-01
ありふれた手法	星新一	新潮社	460	1990-11-27
さびしい王様	北杜夫	新潮社	700	1981-09-29
PHPサイバーテロの技法―攻撃と防御の実際	GIJOE	ソシム	1890	2005-11-01
精霊の守り人	上橋菜穂子	新潮社	580	2007-03-01
ヴィーナス・プラスX	シオドア・スタージョン,大久保譲訳	国書刊行会	2310	2005-04-25
闇の守り人	上橋菜穂子	新潮社	620	2007-06-11
新版 遠野物語　付・遠野物語拾遺	柳田国男	角川学芸出版	500	2008-12-11
チーム・バチスタの栄光	海堂尊	宝島社	1680	2006-01-01
神様のパズル	機本伸司	角川春樹事務所	1785	2002-11-01
アースダイバー	中沢新一	講談社	1890	2005-05-30
クビキリサイクル―青色サヴァンと戯言遣い	西尾維新	講談社	1029	2002-02-01
NEW・山口英文法講義の実況中継―高2~大学入試 (上)	山口 俊治	語学春秋社, 改訂新版版	1050	1998-03-01
音楽の基礎	芥川　也寸志	岩波新書	735	1971-08-01
闇の左手	アーシュラ・K・ル・グィン	NoData	819	2008-12-11
オレンジデイズ	北川　悦吏子	角川書店	1260	2004-06-19
昔話の本質－むかしむかしあるところに	マックス・リューティ, 野村茂	福音館書店	2500	1974-01-01
シルバ－レインＲＰＧ ― ル－ルブック	安道やすみち,グループSNE	エンターブレイン	2999	2008-06-11
INTERACTION DESIGN: Beyond Human-Computer Interaction	Helen Sharp , Yvonne Rogers, Jenny Preece	John Wiley & Sons Inc	6112	2007-03-23
どろろ〈上〉	手塚 治虫,NAKA雅MURA	朝日新聞社	500	2006-12-01
デジタル音楽の行方	David Kusek,Gerd Leonhard,津田　大介	翔泳社	1995	2005-12-06
ダ・ヴィンチ・コード	ダン・ブラウン	角川書店	1890	2004-05-31
天使と悪魔(上) (単行本)	ダン ブラウン (著), 越前 敏弥 (著)	角川書店	1890	2003-10-31
東大合格生のノートはかならず美しい	太田 あや	文藝春秋	1000	2008-09-30
アガサ・クリスティはマザー・グースがお好き	矢野文雄	日本英語居行く境界	2000	1984-07-01
語りかける中学数学	高橋　一雄	ベレ出版	2940	2005-08-01
メメント・モリ	藤原 新也	情報センター出版局	1275	1990-05-01
マザー・グースの英国	藤野紀男	朝日イブニングニュース社	2000	1985-04-01
GO	金城 一紀	講談社	1470	2000-03-01
カクテル大事典800	成美堂出版編集部	成美堂出版	1575	2003-09-01
Mr.Children詩集「優しい歌」	Mr.Children	岩崎書店	1260	2001-11-27
ONE PIECE(1)	尾田 栄一郎	集英社	410	1997-12-01
笑わない数学者―MATHEMATICAL GOODBYE	森 博嗣	講談社	730	1999-07-01
離散数学	牛島和夫, 相利, 朝広雄一	コロナ社	3150	2008-12-11
ICO-霧の城	宮部みゆき	講談社	1890	2004-06-01
WORST 1	高橋ヒロシ	秋田書店	420	2002-05-30
山口英文法講義の実況中継・問題演習	山口俊治	語学春秋社	1000	1998-08-01
殺戮にいたる病 (講談社文庫)	我孫子 武丸	講談社	600	1996-11-01
十角館の殺人 (講談社文庫)	綾辻 行人	講談社	620	1991-09-01
占星術殺人事件 (講談社文庫)	島田 荘司	講談社	750	1987-07-01
Rubyレシピブック	青木峰郎	ソフトバンククリエイティブ	2800	2004-06-07
プログラミングのための線形代数	平岡 和幸, 堀 玄	オーム社	3150	2004-10-01
しあわせの理由	Greg Egan (原著), 山岸 真 (翻訳)	早川書房	820	2003-07-01
バカの壁	養老孟司	新潮新書	714	2003-04-10
映像製作入門	鈴木誠一郎・喜多千草	ナカニシヤ出版	2200	2009-01-20
逆説論理学	野崎 昭弘	中央公論新社	760	1976-01-01
空想科学読本７	柳田理科雄	メディアファクトリー	1260	2009-03-17
空想科学読本６．５	柳田理科雄	メディアファクトリー	840	2008-07-16
シュトックハウゼン音楽論集	Karlheinz Stockhausen, 清水 穣	現代思潮新社	4200	1999-01-31
ジョジョの奇妙な冒険 (46)	荒木 飛呂彦	集英社	410	1996-03-01
空想科学読本６	柳田理科雄	メディアファクトリー	1260	2008-07-16
やさしい応用情報技術者講座	高橋麻奈	ソフトバンクパブリッシング	2580	2008-12-10
オバケのQ太郎 1	藤子・F・不二雄	小学館	1260	2009-06-24
フィンガーボウルの話のつづき	吉田篤弘	新潮社	460	2007-07-01
3Dキャラクターが現実世界に誕生! ARToolKit拡張現実感プログラミング入門	橋本 直	アスキー・メディアワークス	3129	2008-09-17
怨み屋本舗REBOOT 1	栗原 正尚	V	540	2009-07-03
言いまつがい	糸井 重里, ほぼ日刊イトイ新聞	新潮文庫	540	2005-03-29
すべてがFになる―THE PERFECT INSIDER (講談社文庫) (文庫)	森 博嗣	講談社	770	1998-12-01
水泳パフォーマンスの最新理論	野村武男	筑波大学出版会	3990	2009-08-25
Adobe Flex 3 & AIRではじめるアプリケーション開発	公門 和也, 大谷 晋平, 堀越 悠久史	インプレスジャパン	4410	2008-12-01
六月の夜と昼のあわいに	恩田陸	朝日新聞出版	1575	2009-06-19
化物語(上)	西尾 維新	講談社	1680	2006-11-01
恋文の技術	森見登美彦	ポプラ社	1575	2009-03-01
VOW20	宝島編集部	宝島社	980	2008-09-08
巷説百物語	京極夏彦	角川書店	1995	1999-09-01
急降下爆撃	ハンス・ウルリッヒ ルーデル	学習研究社	662	2002-12-01
レタス・フライ	森博嗣	講談社	581	2009-03-13
My world	Jenson Button(ジェンソン・バトン)	Orion	3841	2009-10-18
科学する麻雀	とつげき東北	講談社	777	2004-12-18
ブラッドハーレーの馬車	沙村 広明	太田出版	700	2007-12-18
テレビは見てはいけない	苫米地 英人	PHP研究所	735	2009-09-16
ラヴクラフト全集. 6	Ｈ・Ｐ・ラヴクラフト, 大滝啓裕訳	東京創元社	500	1989-11-01
凍りのくじら	辻村深月	講談社	820	2008-11-14
狐笛のかなた	上橋菜穂子	新潮社	620	2006-12-01
プログラムはなぜ動くのか ― 知っておきたいプログラミングの基礎知識	矢沢久雄,日経ソフトウエア	日経BP出版社	2520	2001-09-27
はじめてのRuby on Rails 2	清水 美樹	工学社	2415	2008-04-01
ONE PIESE　第一巻	尾田栄一郎	集英社	410	1997-12-24
麦酒の家の冒険	西澤 保彦	講談社	650	2000-06-01
アイの物語 (角川文庫) (文庫)	山本 弘	角川グループパブリッシング	860	2009-03-25
君に届け 1巻	椎名 軽穂	集英社	410	2006-05-25
視聴率の正しい使い方	藤平 芳紀	朝日新聞社	756	2007-04-14
おやすみプンプン１	浅野いにお	小学館	530	2007-08-03
1日1分レッスン！　TOEIC Test	中村澄子	祥伝社	743	2007-03-20
実践OpenCV―映像処理&解析	永田 雅人	カットシステム	3360	2009-05-01
スモールワールド・ネットワーク―世界を知るための新科学的思考法	ダンカン ワッツ	阪急コミュニケーションズ	2940	2004-10-01
基礎ドイツ語文法	小島一良, 瀬戸武彦	三秀舎	2000	2008-03-10
楽しい電子楽器―自作のススメ	米本 実	オーム社	1890	2008-12-01
失われた町	三崎亜記	集英社	1680	2006-11-01
マスタリングTCP/IP 入門編 第4版	竹下 隆史, 村山 公保, 荒井 透, 苅田 幸雄	オーム社	2310	2007-02-24
TECHNICAL MASTER はじめてのASP.NET2.0プログラミング Visual C#2005編	木暮 啓一	秀和システム	3360	2007-03-01
六番目の小夜子	恩田陸	新潮社	540	2001-01-01
ハリー・ポッターと死の秘宝	J. K. ローリング 著, 松岡 佑子 訳	静山社	3990	2008-07-23
MW(ムウ) (1)	手塚治虫	小学館	610	1995-09-01
注文の多い料理店(画本宮沢賢治)	宮沢賢治	パロル社	1470	1989-07-01
さらい屋五葉	オノナツメ	小学館	630	2006-07-01
ブラック会社に勤めてるんだが、もう俺は限界かもしれない	黒井勇人	新潮社	1470	2008-06-26
ラットマン	道尾秀介	光文社	1680	2008-01-22
NU―川島海荷写真集	小池 伸一郎	近代映画社	2940	2007-10-01
夏の災厄	篠田節子	文藝春秋	676	1998-06-01
ONE PIECE (50)	尾田 栄一郎	集英社	410	2008-06-04
企業城下町の都市計画～野田・倉敷・日立の企業戦略～	中野茂夫	筑波大学出版会	5460	2009-07-30
チルドレン	伊坂幸太郎	講談社	620	2007-05-05
ナルト　第一巻	岸本斉史	集英社	410	2000-03-03
パズル	山田悠介	角川書店	540	2007-06-01
やさしいXML	高橋 麻奈	SoftBank Creative	2600	2009-05-09
コンピュータはなぜ動くのか --- 知っておきたいハードウエア＆ソフトウエアの基礎知識	矢沢 久雄,日経ソフトウエア	日経BP社	2520	2003-06-02
空の色	HABU	ピエブックス	2520	2000-11-01
フィンランド空軍戦闘機隊	イルマリ ユーティライネン	大日本絵画	3675	1997-09-01
鴨川ホルモー	万城目学	産業編集センター	1260	2006-04-01
時計館の殺人	綾辻行人	講談社	860	1995-06-01
海の底	有川浩	角川グループパブリッシング	740	2009-04-25
ファジィ・ロジック―パラダイム革新のドラマ	ダニエル マクニール, ポール フライバーガー	新曜社	3990	1995-03-01
ちいさいモモちゃん	松谷みよ子	講談社	1155	1974-06-28
陽気なギャングが地球を回す	伊坂幸太郎	ノン・ノベル	880	2003-04-01
廃墟建築士	三崎亜記	集英社	1365	2009-01-26
オリンピックの身代金	奥田 英朗	角川グループパブリッシング	1890	2008-11-28
十二国記	小野不由美	講談社	557	1992-06-12
万国科学者図鑑	万国科学萌研究会	PHP研究所	1260	2009-09-11
WiiRemoteプログラミング	白井 暁彦	オーム社	2940	2009-07-25
狼と香辛料〈12〉	支倉 凍砂	アスキーメディアワークス	578	2009-08-10
三国志〈1の巻〉天狼の星	北方謙三	角川春樹事務所	1680	1996-11-01
きつねのはなし	森見登美彦	新潮社	1470	2006-10-28
姑獲鳥の夏	京極夏彦	講談社	1155	1994-09-01
自宅にて	新藤晴一	ソニーマガジンズ	1890	2005-12-24
鹿男あをによし	万城目学	幻冬舎	1575	2007-04-01
スパイラル―推理の絆 (1)	城平 京, 水野 英太	エニックス	410	2000-02-01
スポーツの傷害と障害をなくす－指導者の心得－	田神一美	筑波大学出版会	1470	2009-06-30
やさしいJava	高橋　麻奈	SoftBank Creative	2730	2009-05-03
大空のサムライ〈上〉死闘の果てに悔いなし	坂井 三郎	講談社	924	2001-04-01
Wiki Way：コラボレーションツールWiki	Bo Leuf, Ward Cunningham. yomoyomo訳.	ソフトバンククリエイティブ	3990	2002-09-01
届かなかったラヴレター　104通の涙	キャリア・マム	文芸社	1100	2009-08-31
TOEIC TEST文法完全攻略―必須単語も同時に身につく	石井辰哉	明日香出版社	1680	1998-12-01
